ID,Smiles,Standard Value
229,Cc1cc(=O)cc2oc3cc(N)c(-c4c(C)cc(O)cc4O)c(C)c3nc1-2,39810.7
230,C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C,39810.7
231,Cc1nn(Cc2ccc(F)cc2)c(C)c1NC(=O)c1cc(-c2ccco2)on1,39810.7
232,Cn1c(=N)c(S(=O)(=O)c2ccc(F)cc2)cc2c(=O)n3ccccc3nc21,39810.7
233,CC1=C(C(=O)Nc2ccccc2)C(c2cccs2)C(C#N)=C(SCC#N)N1,39810.7
234,Cc1csc(SCC(=O)c2ccc(S(=O)(=O)N3CCOCC3)cc2)n1,39810.7
235,COC(=O)c1ccc(CSc2nc3c(c(=O)n2-c2ccccc2)SCC3)o1,39810.7
236,O=C(Nc1ccc2nc(-c3ccco3)c(-c3ccco3)nc2c1)N1CCCCCC1,39810.7
237,CCNc1ncc2nc(CCc3ccccc3)c(=O)n(Cc3ccc(F)cc3)c2n1,39810.7
238,CN(C)c1ncc2nc(CCc3ccccc3)c(=O)n(Cc3ccc(F)cc3)c2n1,39810.7
239,N#Cc1c(NC(NC(=O)c2ccco2)C(=O)c2ccccc2)sc2c1CCCC2,39810.7
240,O=C(CSc1nc2nncc-2c(O)n1-c1ccccc1)N1CCCc2ccccc21,39810.7
241,CN1CCc2c(sc3c2C(=O)NC(c2cccc(OC(=O)c4cccs4)c2)N3)C1,39810.7
242,COc1ccc(-n2c(=O)c(-c3cccs3)nc3cnc(Nc4ccccc4)nc32)cc1,39810.7
243,COc1cc(/C=C(\C#N)C(=O)c2ccc(O)c(O)c2)cc(I)c1O,39810.7
244,COc1ccc(N2Cc3cccc(C(=O)N4CCN(C(=O)c5ccco5)CC4)c3C2=O)cc1,39810.7
245,C=CCN(C(=O)CSc1nc2nncc-2c(O)n1-c1ccccc1OC)c1ccccc1,39810.7
246,CCOC(=O)c1ccc2c(c1)nc(SC/C(O)=C(\C#N)c1nc3ccccc3[nH]1)n2CC,39810.7
